AnimalID,Sex,Season,Year,Kill_ID,Period,Start Date,Start time,End Date,End Time,StartStalk,StartCons,EndCons,StartLib,EndLib,StillnessPrior,MaternalStatus,# ind,Scavenger1,Scavenger2,Scavenger3,Pick up young?,Comments,Prey Species,Prey Age Class,Prey Age,Prey Sex,"If Male, antler condition",MarrowColor,MarrowConsistency
202,F,Early Winter,2016,341.0,Kill,2016-12-04,22:51:00,2016-12-04,22:53:00,,,,,,,Kittens,5,Coyote,,,,,Elk,Yearling,1,Unknown,00:00:00,Red,Liver
202,F,Early Winter,2016,341.0,Handling,2016-12-04,22:54:00,2016-12-07,03:14:00,,,,,,,Kittens,5,Coyote,,,,,Elk,Yearling,1,Unknown,00:00:00,Red,Liver
202,F,Late Winter,2018,942.0,Kill,2018-02-11,06:01:00,2018-02-11,06:01:00,05:56:51,06:01:05,06:02:02,,06:02:51,,,1,Coyote,,,,,Elk,Calf/fawn,1,Unknown,00:00:00,0,Not Available
202,F,Late Winter,2018,942.0,Handling,2018-02-11,06:02:00,2018-02-16,01:37:00,,,,,,,,1,Coyote,,,,,Elk,Calf/fawn,1,Unknown,00:00:00,0,Not Available
202,F,Summer,2018,41.0,Forage,2018-06-29,05:08:00,2018-06-29,05:37:00,,,,,,,,1,Bear,,,,,Elk,Yearling,1,Female,00:00:00,0,Not Available
202,F,Summer,2018,41.0,Kill,2018-06-29,05:38:00,2018-06-29,05:39:00,,,,,,,,1,Bear,,,,,Elk,Yearling,1,Female,00:00:00,0,Not Available
202,F,Summer,2018,41.0,Handling,2018-06-29,05:40:00,2018-07-05,10:37:00,,,,,,,,1,Bear,,,,,Elk,Yearling,1,Female,00:00:00,0,Not Available
202,F,Early Winter,2018,84.0,Forage,2018-12-13,00:24:00,2018-12-14,00:24:00,,,,,,,,1,None,,,,,Elk,Calf/fawn,1,Female,00:00:00,Pink,Solid
202,F,Early Winter,2018,84.0,Handling,2018-12-14,00:25:00,2018-12-15,11:27:00,,,,,,,,1,None,,,,,Elk,Calf/fawn,1,Female,00:00:00,Pink,Solid
202,F,Late Winter,2019,109.0,Kill,2019-03-03,02:39:00,2019-03-03,02:43:00,,,,,,,,1,None,,,,,Elk,Calf/fawn,1,Unknown,00:00:00,Pink,Liver
202,F,Late Winter,2019,109.0,Handling,2019-03-03,02:44:00,2019-03-05,12:51:00,,,,,,,,1,None,,,,,Elk,Calf/fawn,1,Unknown,00:00:00,Pink,Liver
202,F,Late Winter,2019,97.0,Forage,2019-03-15,16:10:00,2019-03-16,03:55:00,,,,,,,,1,Wolf,Fox,,,,Elk,Calf/fawn,1,Female,00:00:00,Pink-Red,Liver
202,F,Late Winter,2019,97.0,Kill,2019-03-16,03:56:00,2019-03-16,03:57:00,,,,,,,,1,Wolf,Fox,,,,Elk,Calf/fawn,1,Female,00:00:00,Pink-Red,Liver
202,F,Late Winter,2019,97.0,Handling,2019-03-16,03:58:00,2019-03-17,01:49:00,,,,,,,,1,Wolf,Fox,,,,Elk,Calf/fawn,1,Female,00:00:00,Pink-Red,Liver
202,F,Summer,2019,145.0,Forage,2019-04-30,11:54:00,2019-04-30,17:54:00,,,,,,,,1,Coyote,,,,,Elk,Calf/fawn,1,Female,00:00:00,0,Not Available
202,F,Summer,2019,145.0,Kill,2019-04-30,17:55:00,2019-04-30,17:55:00,,,,,,,,1,Coyote,,,,,Elk,Calf/fawn,1,Female,00:00:00,0,Not Available
202,F,Summer,2019,145.0,Handling,2019-04-30,17:56:00,2019-05-05,03:32:00,,,,,,,,1,Coyote,,,,,Elk,Calf/fawn,1,Female,00:00:00,0,Not Available
202,F,Summer,2019,155.0,Forage,2019-05-19,12:08:00,2019-05-20,23:42:00,,,,,,,,1,Bear,,,,,Elk,Yearling,1,Female,00:00:00,Pink,Gelatinous
202,F,Summer,2019,155.0,Kill,2019-05-20,23:43:00,2019-05-20,23:44:00,,,,,,,,1,Bear,,,,,Elk,Yearling,1,Female,00:00:00,Pink,Gelatinous
202,F,Summer,2019,155.0,Handling,2019-05-20,23:45:00,2019-05-30,11:13:00,,,,,,,,1,Bear,,,,,Elk,Yearling,1,Female,00:00:00,Pink,Gelatinous
202,F,Late Winter,2019,117.0,Forage,2019-03-17,01:50:00,2019-03-18,01:39:00,,,,,,,,1,None,,,,,Mule Deer,Calf/fawn,1,Unknown,00:00:00,0,Not Available
202,F,Late Winter,2019,117.0,Kill,2019-03-18,01:40:00,2019-03-18,01:40:00,,,,,,,,1,None,,,,,Mule Deer,Calf/fawn,1,Unknown,00:00:00,0,Not Available
202,F,Late Winter,2019,117.0,Handling,2019-03-18,01:41:00,2019-03-20,13:35:00,,,,,,,,1,None,,,,,Mule Deer,Calf/fawn,1,Unknown,00:00:00,0,Not Available
202,F,Late Winter,2019,114.0,Forage,2019-03-22,00:40:00,2019-03-22,10:04:00,,,,,,,,1,None,,,,,Mule Deer,Calf/fawn,1,Unknown,00:00:00,0,Not Available
202,F,Late Winter,2019,114.0,Kill,2019-03-22,10:05:00,2019-03-22,10:05:00,,,,,,,,1,None,,,,,Mule Deer,Calf/fawn,1,Unknown,00:00:00,0,Not Available
202,F,Late Winter,2019,114.0,Handling,2019-03-22,10:06:00,2019-03-24,02:59:00,,,,,,,,1,None,,,,,Mule Deer,Calf/fawn,1,Unknown,00:00:00,0,Not Available
202,F,Late Winter,2019,111.0,Forage,2019-03-24,03:00:00,2019-03-24,08:42:00,,,,,,,,1,Fox,,,,,Mule Deer,Calf/fawn,1,Unknown,00:00:00,Red,Gelatinous
202,F,Late Winter,2019,111.0,Kill,2019-03-24,08:43:00,2019-03-24,08:44:00,,,,,,,,1,Fox,,,,,Mule Deer,Calf/fawn,1,Unknown,00:00:00,Red,Gelatinous
202,F,Late Winter,2019,111.0,Handling,2019-03-24,08:45:00,2019-03-25,12:28:00,,,,,,,,1,Fox,,,,,Mule Deer,Calf/fawn,1,Unknown,00:00:00,Red,Gelatinous
202,F,Summer,2019,144.0,Forage,2019-05-11,11:20:00,2019-05-17,05:20:00,,,,,,,,1,None,,,,,Mule Deer,Calf/fawn,1,Unk,00:00:00,0,Not Available
202,F,Summer,2019,144.0,Kill,2019-05-17,05:21:00,2019-05-17,05:22:00,,,,,,,,1,None,,,,,Mule Deer,Calf/fawn,1,Unk,00:00:00,0,Not Available
202,F,Summer,2019,144.0,Handling,2019-05-17,05:23:00,2019-05-18,05:27:00,,,,,,,,1,None,,,,,Mule Deer,Calf/fawn,1,Unk,00:00:00,0,Not Available
202,F,Late Winter,2018,964.0,Forage,2018-03-04,08:26:00,2018-03-11,04:37:00,,,,,,,,1,Coyote,,,,,Elk,Yearling,2,Unknown,00:00:00,Pink-Red,Gelatinous
202,F,Late Winter,2018,964.0,Kill,2018-03-11,04:38:00,2018-03-11,04:39:00,04:33:00,04:37:58,04:38:46,,04:49:45,,,1,Coyote,,,,,Elk,Yearling,2,Unknown,00:00:00,Pink-Red,Gelatinous
202,F,Late Winter,2018,964.0,Handling,2018-03-11,04:40:00,2018-03-14,01:51:00,,,,,,,,1,Coyote,,,,,Elk,Yearling,2,Unknown,00:00:00,Pink-Red,Gelatinous
202,F,Late Winter,2018,964.0,Handling,2018-03-24,04:12:00,2018-03-24,06:15:00,,,,,,,,1,Coyote,,,,,Elk,Yearling,2,Unknown,00:00:00,Pink-Red,Gelatinous
202,F,Summer,2019,118.0,Forage,2019-05-05,11:28:00,2019-05-09,08:08:00,,,,,,,,1,Coyote,Fox,,,,Mule Deer,Adult,2,Unknown,00:00:00,0,Not Available
202,F,Summer,2019,118.0,Kill,2019-05-09,08:09:00,2019-05-09,08:10:00,,,,,,,,1,Coyote,Fox,,,,Mule Deer,Adult,2,Unknown,00:00:00,0,Not Available
202,F,Summer,2019,118.0,Handling,2019-05-09,08:11:00,2019-05-11,11:19:00,,,,,,,,1,Coyote,Fox,,,,Mule Deer,Adult,2,Unknown,00:00:00,0,Not Available
202,F,Summer,2019,142.0,Kill,2019-04-29,11:47:00,2019-04-29,11:51:00,,,,,,,,1,None,,,,,Mule Deer,Adult,5,Female,00:00:00,Pink-Red,Gelatinous
